size;time
100000;731497
200000;1288610
300000;2134327
400000;2796656
500000;3349955
600000;4355936
700000;4978027
800000;5534490
900000;6668444
1000000;6786504
1100000;7818005
1200000;8507495
1300000;9767064
1400000;9499451
1500000;11490479
1600000;11790144
1700000;12305459
1800000;11707787
1900000;13517132
2000000;14338488
2100000;15069681
2200000;13812541
2300000;14377301
2400000;15972019
2500000;15968646
2600000;17553386
2700000;18252078
2800000;19388209
2900000;20708502
3000000;19596094
3100000;23662866
3200000;23241180
3300000;22834293
3400000;24081073
3500000;25464740
3600000;26318837
3700000;25427372
3800000;26805833
3900000;27438945
4000000;29898008
4100000;29694409
4200000;30115758
4300000;29287261
4400000;30858499
4500000;30025580
4600000;31832933
4700000;31032725
4800000;33295640
4900000;34641445
5000000;33338840
5100000;35888392
5200000;34853845
5300000;37515752
5400000;36741085
5500000;41659411
5600000;39243610
5700000;38663147
5800000;42318201
5900000;42372270
6000000;42065598
6100000;47276900
6200000;42176391
6300000;40833296
6400000;44766410
6500000;49958064
6600000;48817341
6700000;44473335
6800000;47061375
6900000;47203078
7000000;47013583
7100000;53174360
7200000;49956141
7300000;52717481
7400000;48742791
7500000;56264749
7600000;54457331
7700000;57283231
7800000;49679287
7900000;50669466
8000000;56482979
8100000;57778657
8200000;57492001
8300000;65129221
8400000;61462977
8500000;63700847
8600000;59560139
8700000;61293956
8800000;60387682
8900000;60776279
9000000;61158765
9100000;64210310
9200000;62240443
9300000;65290476
9400000;62552702
9500000;66285446
9600000;66892256
9700000;70556093
9800000;68194748
9900000;70249850
10000000;71934259
